statement,entity,year,line_item,label_key,metric,value_rm,source_sheet
Balance sheet,Company,2010,Accumulated loss,accumulated loss,accumulated_loss,-15080.0,balance sheet 2010-2012
Balance sheet,Company,2010,Cash and cash equivalents,cash and cash equivalents,cash,3111.0,balance sheet 2010-2012
Balance sheet,Company,2010,Derivatives,current assets: derivatives,,76.0,balance sheet 2010-2012
Balance sheet,Company,2010,Investments in subsidiaries,current assets: investments in subsidiaries,,1653.0,balance sheet 2010-2012
Balance sheet,Company,2010,Deferred revenue on ticket sales,current liabilities: deferred revenue on ticket sales,deferred_revenue_current,3719.0,balance sheet 2010-2012
Balance sheet,Company,2010,Provisions,current liabilities: provisions,provisions_current,727.0,balance sheet 2010-2012
Balance sheet,Company,2010,Current portion of long-term loans,current portion of long-term loans,current_portion_loans,553.0,balance sheet 2010-2012
Balance sheet,Company,2010,Finance lease obligation,finance lease obligation,,10.0,balance sheet 2010-2012
Balance sheet,Company,2010,Intangible assets,intangible assets,intangibles,85.0,balance sheet 2010-2012
Balance sheet,Company,2010,Inventories,inventories,inventories,57.0,balance sheet 2010-2012
Balance sheet,Company,2010,Investments,investments,,122.0,balance sheet 2010-2012
Balance sheet,Company,2010,Deferred revenue on ticket sales,liabilities non-current liabilities: deferred revenue on ticket sales,,1405.0,balance sheet 2010-2012
Balance sheet,Company,2010,Provisions,liabilities non-current liabilities: provisions,,1536.0,balance sheet 2010-2012
Balance sheet,Company,2010,Long-term loans,long-term loans,long_term_loans,2139.0,balance sheet 2010-2012
Balance sheet,Company,2010,"Non-current assets held-for-sale and assets
of disposal groups",non-current assets held-for-sale and assets of disposal groups,,10.0,balance sheet 2010-2012
Balance sheet,Company,2010,Investments in subsidiaries,non-current assets: investments in subsidiaries,,338.0,balance sheet 2010-2012
Balance sheet,Company,2010,"Property, aircraft and equipment","property, aircraft and equipment",ppe,5784.0,balance sheet 2010-2012
Balance sheet,Company,2010,Reserves,reserves,reserves,553.0,balance sheet 2010-2012
Balance sheet,Company,2010,Retirement benefit obligation,retirement benefit obligation,,41.0,balance sheet 2010-2012
Balance sheet,Company,2010,Share capital,share capital,share_capital,13126.0,balance sheet 2010-2012
Balance sheet,Company,2010,Subordinated loan guaranteed by government,subordinated loan guaranteed by government,subordinated_loan,1300.0,balance sheet 2010-2012
Balance sheet,Company,2010,Total assets,total assets,total_assets,15032.0,balance sheet 2010-2012
