entity,year,accumulated_loss,airline_revenue,bank_overdraft,borrowings_raised,borrowings_repaid,capex,cash,cash_from_operations,catering_costs,closing_cash,commission_costs,current_assets,current_liabilities,current_portion_loans,deferred_revenue_current,deferred_revenue_non_current,depreciation,ebitda,employee_costs,finance_costs,fuel_costs,impairments,intangible_additions,intangibles,interest_income,inventories,lease_costs,long_term_loans,loss_before_tax,loss_for_year,maintenance_costs,navigation_costs,net_financing_cash,net_investing_cash,net_operating_cash,non_current_assets,non_current_liabilities,operating_costs,operating_loss,other_income,other_operating_costs,overdraft_movement,payables,ppe,provisions_current,provisions_non_current,receivables,reserves,share_capital,shareholder_bailout,shareholder_contribution,subordinated_loan,tax_paid,taxation,total_assets,total_comprehensive_loss,total_equity,total_equity_and_liabilities,total_income,total_liabilities
Company,2010,-15080.0,,,,,,3111.0,,,,,8815.0,10012.0,553.0,3719.0,,,,,,,,,85.0,,57.0,,2139.0,,,,,,,,6207.0,5121.0,,,,,,5003.0,5784.0,727.0,,3796.0,553.0,13126.0,,,1300.0,,,15032.0,,-101.0,15032.0,,15133.0
Company,2011,-14466.0,16746.0,,,-804.0,586.0,1875.0,226.0,970.0,1875.0,1182.0,7852.0,9394.0,407.0,3393.0,,791.0,957.0,2972.0,200.0,5814.0,13.0,-43.0,107.0,142.0,80.0,1686.0,1671.0,728.0,715.0,2521.0,1173.0,-905.0,-294.0,-14.0,6142.0,4119.0,20652.0,786.0,4863.0,3051.0,,4857.0,5502.0,723.0,,4199.0,521.0,13126.0,,,1300.0,,-13.0,13994.0,683.0,481.0,13994.0,21609.0,13513.0
Company,2012,-15190.0,17031.0,1535.0,,-656.0,674.0,1139.0,-1119.0,1114.0,-396.0,1178.0,7162.0,10422.0,471.0,3282.0,,474.0,-999.0,3129.0,172.0,7882.0,-228.0,-10.0,83.0,42.0,92.0,1795.0,1287.0,-1067.0,-1067.0,2735.0,1368.0,-748.0,-512.0,-1153.0,6975.0,3880.0,23444.0,-937.0,5414.0,3469.0,,4833.0,6031.0,290.0,,4355.0,599.0,13126.0,,,1300.0,,,14137.0,-554.0,-165.0,14137.0,22445.0,14302.0
Company,2015,-24362.0,26775.0,1155.0,4341.0,-438.0,4250.0,519.0,-1731.0,1416.0,519.0,1763.0,6923.0,16729.0,4634.0,3415.0,715.0,754.0,-2796.0,3758.0,667.0,9449.0,-1514.0,-26.0,155.0,16.0,121.0,2711.0,4969.0,-5718.0,-5718.0,4866.0,1980.0,3763.0,-1492.0,-2366.0,6910.0,7910.0,31015.0,-5067.0,1444.0,4520.0,-140.0,6668.0,3233.0,511.0,2135.0,4832.0,529.0,13126.0,,,,16.0,,13932.0,-5768.0,-10707.0,13932.0,28219.0,24639.0
Company,2016,-25676.0,26755.0,,6000.0,-1560.0,658.0,2044.0,195.0,1566.0,2044.0,1730.0,10190.0,18058.0,6243.0,4069.0,633.0,656.0,494.0,3819.0,1063.0,6673.0,-98.0,-1.0,188.0,11.0,101.0,3078.0,7800.0,-1314.0,-1314.0,5368.0,2108.0,3285.0,-623.0,-1071.0,6462.0,10852.0,27889.0,-262.0,1628.0,3745.0,-1155.0,6352.0,3146.0,1390.0,2291.0,6640.0,391.0,13126.0,,,,16.0,,16751.0,-1333.0,-12159.0,16751.0,28383.0,28910.0
Company,2017,-32188.0,26539.0,663.0,2257.0,-350.0,885.0,2212.0,195.0,1711.0,2212.0,1798.0,8154.0,22030.0,8133.0,4158.0,668.0,953.0,-2845.0,4012.0,1663.0,6735.0,-906.0,-39.0,224.0,12.0,89.0,3022.0,7800.0,-6337.0,-6337.0,6181.0,2161.0,2570.0,-881.0,-1485.0,6317.0,11156.0,31244.0,-4686.0,1860.0,3877.0,663.0,7723.0,3114.0,995.0,2314.0,3919.0,446.0,13126.0,,,,9.0,,14570.0,-6275.0,-18616.0,14570.0,28399.0,33186.0
Company,2018,-36925.0,25192.0,828.0,1482.0,-8946.0,562.0,1325.0,-1317.0,1506.0,1325.0,1685.0,4643.0,20869.0,7659.0,3193.0,568.0,692.0,-3035.0,4025.0,1473.0,6648.0,73.0,-19.0,81.0,50.0,100.0,3158.0,785.0,-5051.0,-5051.0,5951.0,1807.0,2701.0,-390.0,-2756.0,7083.0,4302.0,29773.0,-3628.0,1546.0,3558.0,165.0,7773.0,2806.0,928.0,2693.0,2866.0,453.0,13126.0,10000.0,10000.0,,14.0,,11825.0,-5044.0,-13346.0,11825.0,26738.0,25171.0
Company,2019,-42759.0,22695.0,,8500.0,-5000.0,826.0,1775.0,-5563.0,1329.0,1775.0,1399.0,4919.0,23956.0,11901.0,3935.0,469.0,899.0,-2419.0,4289.0,1399.0,6987.0,-1178.0,-9.0,59.0,62.0,72.0,2841.0,,-5834.0,-5834.0,4178.0,1546.0,7672.0,-412.0,-6899.0,7101.0,2243.0,26294.0,-4497.0,1180.0,3582.0,-828.0,7047.0,2310.0,992.0,910.0,2343.0,454.0,13126.0,5000.0,15000.0,,4.0,,12020.0,-5833.0,-14179.0,12020.0,23875.0,26199.0
Group,2010,-14916.0,,,,,,3402.0,,,,,8217.0,9870.0,553.0,3777.0,,,,,,,,,90.0,,649.0,,2139.0,,,,,,,,6656.0,5184.0,,,,,,4833.0,6548.0,697.0,,3968.0,553.0,12892.0,,,1300.0,,,14883.0,,-171.0,14883.0,,15054.0
Group,2011,-14238.0,17767.0,,,-838.0,631.0,2252.0,525.0,658.0,2252.0,1227.0,7764.0,9487.0,407.0,3450.0,,845.0,1006.0,4417.0,168.0,6086.0,71.0,-45.0,112.0,156.0,733.0,1686.0,1671.0,792.0,779.0,1316.0,1248.0,-939.0,-519.0,331.0,6380.0,4182.0,21602.0,804.0,4841.0,3560.0,,4893.0,6251.0,723.0,,4394.0,521.0,12892.0,,,1300.0,,-13.0,14144.0,747.0,475.0,14144.0,22608.0,13669.0
Group,2012,-14738.0,18450.0,1569.0,,-644.0,741.0,1536.0,-1126.0,793.0,-33.0,1231.0,7223.0,10652.0,471.0,3355.0,,530.0,-1315.0,4711.0,147.0,8302.0,44.0,-16.0,91.0,42.0,910.0,1797.0,1305.0,-1357.0,-843.0,1739.0,1476.0,-736.0,-555.0,-1135.0,7833.0,3961.0,25176.0,-1252.0,5411.0,4021.0,,4956.0,7292.0,290.0,,4506.0,989.0,12892.0,,,1300.0,,514.0,15056.0,60.0,443.0,15056.0,23861.0,14613.0
Group,2015,-24593.0,29160.0,1185.0,4342.0,-442.0,4341.0,1295.0,-1593.0,1040.0,1295.0,1848.0,7207.0,17418.0,4638.0,3590.0,715.0,825.0,-2915.0,5698.0,634.0,10217.0,-1773.0,-32.0,171.0,26.0,725.0,2756.0,4984.0,-6130.0,-6142.0,3912.0,2207.0,3780.0,-1592.0,-2209.0,7360.0,7996.0,33407.0,-5522.0,1332.0,5150.0,-120.0,7145.0,4587.0,511.0,2143.0,4998.0,953.0,12892.0,,,,40.0,-12.0,14666.0,-6122.0,-10748.0,14666.0,30492.0,25414.0
Group,2016,-26071.0,29273.0,23.0,6000.0,-1564.0,714.0,2701.0,117.0,1279.0,2701.0,1829.0,10276.0,18683.0,6248.0,4212.0,633.0,732.0,522.0,5831.0,1030.0,7344.0,-158.0,-13.0,210.0,26.0,727.0,3132.0,7810.0,-1378.0,-1478.0,4167.0,2384.0,3274.0,-683.0,-1121.0,6883.0,10939.0,30194.0,-374.0,1443.0,4379.0,-1162.0,6797.0,4474.0,1399.0,2305.0,6725.0,815.0,12892.0,,,,36.0,-100.0,17258.0,-1497.0,-12364.0,17258.0,30716.0,29622.0
Group,2017,-31712.0,29313.0,684.0,2257.0,-353.0,997.0,2600.0,-13.0,1409.0,2600.0,1894.0,8218.0,22523.0,8140.0,4375.0,668.0,1033.0,-2639.0,6130.0,1630.0,7365.0,26.0,-44.0,244.0,40.0,867.0,3103.0,7804.0,-5229.0,-5439.0,4812.0,2429.0,2565.0,-996.0,-1632.0,7569.0,11237.0,33428.0,-3639.0,1476.0,4514.0,661.0,8227.0,4574.0,1096.0,2328.0,3976.0,946.0,12892.0,,,,9.0,-210.0,15886.0,-5301.0,-17874.0,15886.0,30789.0,33760.0
Group,2018,-36883.0,28105.0,828.0,104.0,-7575.0,626.0,1635.0,-1112.0,1222.0,1635.0,1793.0,6203.0,21759.0,7662.0,3408.0,568.0,775.0,-2665.0,6140.0,1472.0,7359.0,-568.0,-21.0,213.0,87.0,1042.0,3350.0,786.0,-5436.0,-5485.0,4392.0,2046.0,2673.0,-639.0,-2557.0,6799.0,4380.0,32071.0,-4051.0,1301.0,4298.0,144.0,8812.0,4291.0,1049.0,2707.0,3049.0,953.0,12892.0,10000.0,10000.0,,58.0,-49.0,13101.0,-5478.0,-13038.0,13101.0,29406.0,26139.0
Group,2019,-43366.0,26008.0,,8507.0,-5003.0,864.0,1979.0,-5544.0,1075.0,1979.0,1509.0,6125.0,25001.0,11903.0,4146.0,469.0,1004.0,-2951.0,6589.0,1432.0,8016.0,-1190.0,-27.0,194.0,54.0,992.0,3218.0,6.0,-6528.0,-6483.0,3548.0,1856.0,7676.0,-470.0,-6948.0,7224.0,2868.0,29943.0,-5150.0,984.0,3989.0,-828.0,7645.0,3741.0,1307.0,1466.0,2501.0,954.0,12892.0,5000.0,15000.0,,31.0,45.0,13349.0,-6482.0,-14520.0,13349.0,26992.0,27869.0
